Q13114	P26842	1
P09016	Q09472	1
Q9Y6K9	Q14790	1
Q01780	Q9Y333	1
Q6UVK1	P60953	1
P14672	P04406	1
Q9P104	P06213	1
P48729	P35222	1
Q15475	Q04724	1
P21810	P02452	1
P60604	Q05086	1
P00740	P00451	1
O14593	O00287	1
P55036	Q9UMX0	1
Q9HAU5	Q13114	1
O95477	O15085	1
P0CG47	P46527	1
P27824	O95990	1
Q9NRW1	P36897	1
P21246	Q96NT1	1
P06401	O95071	1
Q96EP1	O14965	1
Q14847	P68032	1
Q9UMX0	P30926	1
Q96F07	Q92558	1
P14672	Q13033	1
P29466	P05549	1
O00499	P00519	1
Q99558	P46777	1
Q9NZV8	Q14005	1
P62826	P02686	1
P15382	Q12809	1
P53778	P62993	1
O00300	P04004	1
O14493	Q07157	1
P09884	P04637	1
Q12834	O60566	1
P07339	P02818	1
Q99726	Q92572	1
P60709	Q6VMQ6	1
Q13136	P10586	1
Q9UG01	Q969G2	1
P15309	P04626	1
Q92913	Q9UQD0	1
Q13976	P41220	1
Q9BTY7	Q9H3H1	1
P42575	P55957	1
Q15645	Q8N720	1
O94973	P61966	1
Q02156	Q8NER1	1
P42684	P46108	1
Q9UBU9	P78406	1
P48729	P04637	1
P07948	P10721	1
Q7Z460	Q15691	1
P01112	P21359	1
P48443	Q6UWE0	1
P80511	Q15109	1
P49639	Q15654	1
Q9H6Z4	P18754	1
Q06187	P17252	1
O00548	Q86UL8	1
Q9Y275	Q02223	1
Q9HAU4	Q13761	1
P11831	P54821	1
Q13547	P08047	1
P48048	Q15599	1
Q9Y689	P52292	1
O60383	Q9Y3C0	1
P16144	Q03001	1
O14920	Q14790	1
P06239	P40763	1
Q8IYF3	Q7Z6G3	1
O75582	P50549	1
P12956	P09017	1
P63279	P15923	1
P18848	P13984	1
P07288	P01023	1
P27701	P01903	1
Q13480	P46109	1
P63208	Q9NRD1	1
P20226	P29083	1
O00358	Q01970	1
Q13393	P60709	1
Q6XZF7	Q9Y2A7	1
Q9NQT4	Q96NG5	1
Q7Z6M1	P51151	1
P10124	O43765	1
Q9NPF4	Q9UBM4	1
Q96PU8	Q93062	1
Q13625	Q9BYC9	1
Q13114	Q9BQY4	1
P48745	P05019	1
P08581	P40763	1
Q8IZH2	P09651	1
P50402	Q969F0	1
O15379	P05412	1
P41235	P08047	1
Q8N8D1	O75400	1
P08588	P49407	1
Q12933	Q9BT49	1
P23582	P20594	1
Q92824	P20382	1
Q14344	Q99500	1
Q13241	Q07444	1
Q99666	P62826	1
Q96KX2	P63261	1
O14543	P19235	1
Q15942	P12814	1
P04180	P02647	1
Q03135	P03372	1
O60682	Q99081	1
P62324	P10827	1
Q01995	P68133	1
P07333	P09603	1
P01106	P08047	1
Q07065	Q9H1I8	1
Q9Y297	P35222	1
Q9NQT5	Q9NPD3	1
P07996	P16671	1
P49366	P63241	1
P19784	Q92598	1
P06756	Q14773	1
P30626	Q13137	1
O00175	P51677	1
Q9UQR1	P04637	1
P14678	Q9UKR5	1
Q15544	P21675	1
P10912	P01242	1
P24864	P30304	1
Q14194	Q96JB5	1
Q9Y6Q9	P10275	1
O43298	Q7L590	1
Q13492	O95782	1
Q13671	P63104	1
P42224	P15260	1
P60033	P10721	1
P49848	Q15545	1
P68400	P08047	1
Q8WUH2	P36894	1
P31749	Q06481	1
P55916	P61981	1
Q96NA2	P51149	1
O60765	P63167	1
P10114	P04049	1
Q16620	P23560	1
Q08117	O95166	1
P07948	Q92918	1
Q04771	P62979	1
Q92804	P21675	1
Q9NZC7	P04637	1
P26842	P05412	1
O43353	Q13077	1
P05067	Q13387	1
P35241	Q92574	1
Q96S59	P31151	1
Q9GZV1	O15273	1
O75791	P10721	1
Q96T58	Q03181	1
P19012	Q8IYI6	1
O14980	P63241	1
Q9UHW9	Q9UEW8	1
P19012	Q96ES7	1
P23528	P61981	1
Q9H8Y8	P01135	1
P16591	P14923	1
P62191	Q15834	1
P54725	P04843	1
Q9P2W3	Q9HAP6	1
P20226	Q9Y6X2	1
Q13432	Q8TDN6	1
P23297	P25815	1
Q13113	Q7L5N1	1
Q8WY41	Q8TB72	1
Q9NPG2	P09471	1
Q9UKR5	Q96M11	1
O14641	Q93062	1
O00308	P37088	1
O15211	P61224	1
O15392	P42574	1
Q15796	P10644	1
P29992	P30411	1
O76041	Q15942	1
Q15102	Q05516	1
P30519	Q5JY77	1
O43924	Q9NP72	1
P09016	Q15834	1
Q86U70	Q8TE12	1
P05129	P61764	1
Q15544	P20226	1
P21579	P04150	1
Q15020	P10275	1
Q9H9S3	P04114	1
Q15797	P15121	1
O60674	P42229	1
P28482	P12036	1
Q16594	Q03164	1
Q13363	P48552	1
P51679	P10147	1
Q9NQ69	Q15796	1
P49750	P62136	1
P17661	P04278	1
Q92729	P63096	1
Q9BV20	Q6VMQ6	1
Q9Y2U9	Q9NRL3	1
P31949	P04271	1
P05231	Q05516	1
Q8N8S7	Q15942	1
P21246	Q9NRR5	1
O75052	P17600	1
Q9UJU6	Q92918	1
P48745	P23142	1
Q9H4L4	Q09472	1
O60749	P36896	1
P60228	Q9GZR7	1
Q56P03	Q9NRR5	1
Q8IXK2	Q09472	1
Q8IW41	P28482	1
Q9C004	P04049	1
P20337	Q15797	1
O00238	P62979	1
O60603	P14625	1
O14513	P16333	1
P11473	P28702	1
P38398	Q9Y4A5	1
Q96EV8	Q9Y4J8	1
O60759	Q99418	1
P02775	Q9NRL3	1
P01111	Q9P212	1
Q05516	Q9NPJ4	1
Q05655	P42336	1
Q6PIZ9	P07948	1
P06400	P38398	1
Q92993	Q09472	1
P00519	P12956	1
P21246	O00231	1
P42773	Q9GZT6	1
P17600	P19174	1
Q6XZF7	Q16643	1
P67775	Q05655	1
P60468	Q15629	1
P04233	P07711	1
Q9UNY4	P22626	1
P10828	Q15645	1
Q08380	P08571	1
P42566	Q9Y6K9	1
P55210	P15924	1
O00238	P57729	1
Q13137	Q8TCX5	1
O43639	Q07889	1
P63167	Q9C010	1
Q9Y6Q9	P63165	1
Q9H6X2	Q07817	1
Q12972	Q9UKR5	1
P29373	P30281	1
Q13324	Q969E3	1
O14745	O76082	1
P29375	P28749	1
Q17RD7	Q8NB59	1
O75582	P18846	1
Q16695	P24522	1
P10827	P35637	1
O43711	O00470	1
P00519	Q03135	1
P25100	Q13884	1
Q9NPB6	Q04917	1
Q14181	Q8N2I9	1
Q01844	Q9NYG2	1
P19012	Q96GM5	1
P30518	P01185	1
Q15797	P62987	1
P42338	P50052	1
