256	1305
256	203
256	1499
306	306
306	307
306	582
306	953
287	350
287	428
287	472
287	1121
287	1321
287	740
287	81
287	1178
287	1417
287	168
287	346
287	1226
287	1261
287	1566
287	582
287	578
46	745
46	1416
46	1353
46	1043
46	1255
45	45
45	582
587	587
587	590
587	1468
587	702
587	1340
587	773
587	1197
587	170
587	1424
587	1511
587	1250
587	1441
587	1281
587	1563
1102	1556
1102	87
1102	1089
1102	36
1102	1487
1102	170
1102	1424
1102	115
1102	54
1102	1358
1102	1281
1102	84
1102	1538
1102	381
463	260
463	1306
463	418
463	115
463	385
463	94
464	464
465	465
1104	1303
1104	1072
1104	1073
1104	1121
1104	1324
1104	696
1104	22
1104	28
1104	334
1104	1275
1560	1560
1560	582
1381	1381
1381	1382
1381	1341
600	1306
600	128
600	582
601	601
601	1386
601	632
601	900
601	582
603	602
1306	1306
452	450
452	989
451	453
450	450
454	473
454	1121
454	663
454	1131
454	11
454	1199
454	54
454	1356
454	102
454	582
454	1281
454	1287
454	1538
454	381
449	1303
449	448
449	627
449	86
449	1095
449	1338
449	304
449	262
449	1289
448	453
448	448
448	1315
448	97
448	455
147	147
309	1480
309	1222
350	45
350	350
350	1391
350	1095
350	1406
350	1499
350	153
350	1096
350	5
350	1097
350	1098
610	410
610	379
610	1121
610	1411
610	395
610	232
610	778
610	784
610	138
610	815
610	1215
610	41
610	199
610	1045
610	207
610	578
610	1567
216	216
216	582
612	1535
612	219
80	611
80	575
614	115
110	1321
110	1045
184	1323
184	582
379	993
379	1184
1107	1509
30	80
30	627
30	1392
30	1470
30	1318
30	481
30	113
30	362
30	244
30	498
30	2
30	425
30	1425
30	1241
30	89
30	92
30	393
30	296
30	524
30	966
30	1562
621	46
621	1306
621	80
621	218
621	1392
621	1470
621	1317
621	1404
621	1005
621	1171
621	747
621	1338
621	244
621	1174
621	754
621	1503
621	180
621	1350
621	859
621	456
621	894
621	79
621	296
621	32
621	1562
1311	428
1311	418
1311	715
1311	458
1311	1261
623	1386
623	213
623	222
623	1089
623	36
623	1186
623	1199
623	1514
623	1041
623	889
623	344
623	79
624	1004
624	1077
624	47
624	1549
624	1272
624	582
627	627
630	117
90	582
90	1555
90	381
634	1204
635	410
635	407
635	87
635	747
635	1416
635	455
635	71
635	582
638	1101
638	648
638	1116
638	455
638	1030
638	947
638	385
429	1171
429	934
429	13
429	1289
639	1121
639	682
639	1004
639	462
639	1549
639	366
639	319
645	1089
235	235
235	1471
235	41
235	502
235	881
235	1549
235	51
235	582
1315	745
650	1107
650	1317
650	1321
650	83
650	1338
650	497
650	849
650	183
650	1045
650	1248
650	1271
650	954
651	651
250	582
1470	467
1470	1470
1470	326
1470	582
1470	1300
652	274
652	1385
652	633
652	1556
652	487
652	1089
652	36
652	1338
652	1200
652	1220
652	1424
652	115
652	899
652	1045
652	934
652	582
652	1288
652	1538
652	1086
654	418
654	1161
654	740
654	745
654	1489
654	1416
654	788
654	458
654	1429
654	1043
654	1261
654	1566
654	1289
654	385
654	1375
654	1086
477	203
477	334
1118	1460
1118	720
1118	745
1118	2
1118	1499
1118	10
1118	133
1118	79
1118	1289
1118	385
479	1306
479	1151
479	845
479	367
660	274
660	1552
660	1289
1317	1317
1317	1338
1317	458
1317	1220
1317	20
1317	247
664	1394
664	664
664	582
664	219
664	381
9	610
9	1317
9	1323
9	362
9	334
9	582
671	1319
672	244
672	830
672	1566
113	114
113	1121
113	677
113	362
