P00352	P00352	1
Q13683	P02708	1
Q9ULJ8	P63261	1
Q14451	P04626	1
Q13153	P04626	1
P78352	P04626	1
O00459	P04626	1
Q99952	P04626	1
Q96RT1	P04626	1
Q9HAU4	Q13017	1
P35240	P04626	1
P27701	P04626	1
Q9UJM3	P04626	1
P09237	P16070	1
P50616	P04626	1
Q99102	P04626	1
Q9NRD5	P04626	1
Q9UHI6	P41162	1
Q04724	P55316	1
Q13547	P55316	1
Q15797	P55316	1
Q9UGL1	P55316	1
P01730	P16070	1
Q9HAU4	P98082	1
P22681	P15498	1
P16471	P15498	1
P29597	P15498	1
Q9HAU4	P98153	1
P28482	P15498	1
P15498	P84095	1
P01112	P15498	1
Q06187	P15498	1
P36897	P16070	1
P43405	P15498	1
Q15464	P15498	1
Q04759	P15498	1
P42680	P15498	1
P40189	P15498	1
P61978	P15498	1
Q13239	P15498	1
Q14289	P15498	1
Q15910	P15498	1
Q13094	P15498	1
P37173	P16070	1
Q15942	P15498	1
P78314	P15498	1
O43255	P15498	1
O43561	P15498	1
P52566	P15498	1
O15524	P15498	1
Q16853	P15498	1
P51956	P15498	1
Q13191	P15498	1
Q8WV28	P15498	1
P52735	P16070	1
Q9H0H5	P15498	1
Q9NWQ8	P15498	1
Q92608	P15498	1
Q9HAU4	Q15018	1
Q9HAU4	Q9H3P7	1
P07947	P07947	1
Q04912	P07947	1
Q15303	P16070	1
Q06418	P07947	1
O43184	P07947	1
O60500	P07947	1
Q16625	P07947	1
P78352	P07947	1
Q9Y5K6	P07947	1
Q9HBA0	P07947	1
Q9HAU4	Q15428	1
Q9HCN6	P07947	1
Q13625	P07947	1
Q13009	P16070	1
P08047	Q04864	1
P32519	Q04864	1
Q9HAU4	O15254	1
Q9HAU4	Q6ZNA4	1
O15226	Q04864	1
P20226	Q04864	1
Q9HAU4	Q8IV31	1
Q9HAU4	Q13571	1
P45983	Q04864	1
Q9HAU4	P08621	1
Q13316	P16070	1
P60510	Q04864	1
O75694	O95405	1
Q8NBJ7	O95405	1
P15036	O95405	1
O15105	Q9UII5	1
O15105	Q8NCP5	1
O15105	Q9UNY4	1
P11142	Q04864	1
O15105	P15172	1
Q00403	Q04864	1
Q92888	P16070	1
O15105	P35711	1
O15105	Q9NR48	1
O15105	O95625	1
O15105	Q9UN79	1
P10721	P10721	1
P07948	P10721	1
P27986	P10721	1
Q06124	P10721	1
Q9UHV8	P63261	1
P35240	P16070	1
P29350	P10721	1
P17252	P10721	1
P21583	P10721	1
P12931	P10721	1
P42679	P10721	1
P10721	P42224	1
Q16827	P10721	1
P42680	P10721	1
Q14451	P10721	1
Q13322	P10721	1
P46109	P10721	1
Q99704	P10721	1
O00459	P10721	1
O15524	P10721	1
Q13588	P10721	1
O75791	P10721	1
Q9UQQ2	P10721	1
P60033	P10721	1
O75970	P10721	1
Q7Z699	P10721	1
P06239	P28907	1
Q9ULZ2	P10721	1
O14492	P10721	1
Q7Z698	P10721	1
